#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/inf-40-2025/BINP29/microbial-distribution-map/.snakemake/conda/76ec12363814ffb4784de316981ad77e_/bin/metaphlan results/skin-microbiome/0_data/0-3_fastq_downloads/SRR9696282_1.fastq.gz,results/skin-microbiome/0_data/0-3_fastq_downloads/SRR9696282_2.fastq.gz --input_type fastq --nproc 15 --index mpa_vJan21_CHOCOPhlAnSGB_202103 --db_dir results/skin-microbiome/0_data/0-4_bowtie2_db/ --mapout results/skin-microbiome/1_plots/1-2_krona_plots/prep-files/SRR9696282.bowtie2.bz2 --ignore_eukaryotes --ignore_archaea -o results/skin-microbiome/1_plots/1-2_krona_plots/prep-files/SRR9696282_profile.tsv
#88869312 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	99.5215604	
k__Bacteria	2	0.4784396	
k__Bacteria|p__Actinobacteria	2|201174	0.3579739	
k__Bacteria|p__Proteobacteria	2|1224	0.1174967	
k__Bacteria|p__Firmicutes	2|1239	0.002969	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.3579739	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.1174967	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.0019846	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.0009844	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.3126407	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.1174967	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	0.0453332	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.00145	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.0009844	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.0005346	
